HttpVerb,RouteTemplate,ControllerFile,MethodName,Status,FrontendMethod,FrontendRouteLiteral,FrontendFile,Note
POST,api/clinic/notifications/subscribe,NotificationsController.cs,Subscribe,wired,POST,/api/clinic/notifications/subscribe,Frontend/actions/notifications/notifications.ts:18,matched method and normalized route in actions
DELETE,api/clinic/notifications/{id:guid},NotificationsController.cs,Unsubscribe,wired,DELETE,/api/clinic/notifications/${id},Frontend/actions/notifications/notifications.ts:35,matched method and normalized route in actions
GET,api/clinic/notifications/my,NotificationsController.cs,GetMySubscriptions,wired,GET,/api/clinic/notifications/my,Frontend/actions/notifications/notifications.ts:50,matched method and normalized route in actions
POST,api/clinic/notifications/send,NotificationsController.cs,SendNotification,wired,POST,/api/clinic/notifications/send,Frontend/actions/notifications/notifications.ts:61,matched method and normalized route in actions
GET,api/clinic/notifications/in-app,NotificationsController.cs,GetInApp,wired,GET,/api/clinic/notifications/in-app,Frontend/actions/notifications/notifications.ts:78,matched method and normalized route in actions
POST,api/clinic/notifications/in-app/{id:guid}/read,NotificationsController.cs,MarkInAppRead,wired,POST,/api/clinic/notifications/in-app/${id}/read,Frontend/actions/notifications/notifications.ts:92,matched method and normalized route in actions
POST,api/clinic/notifications/in-app/mark-all-read,NotificationsController.cs,MarkAllInAppRead,wired,POST,/api/clinic/notifications/in-app/mark-all-read,Frontend/actions/notifications/notifications.ts:107,matched method and normalized route in actions
GET,api/clinic/partner-orders,PartnerOrdersController.cs,List,wired,GET,/api/clinic/partner-orders,Frontend/actions/partner/workflow.ts:184,matched method and normalized route in actions
GET,api/clinic/partner-orders/{orderId:guid},PartnerOrdersController.cs,GetById,wired,GET,/api/clinic/partner-orders/${orderId},Frontend/actions/partner/workflow.ts:192,matched method and normalized route in actions
POST,api/clinic/partner-orders/{orderId:guid}/status,PartnerOrdersController.cs,UpdateStatus,wired,POST,/api/clinic/partner-orders/${orderId}/status,Frontend/actions/partner/workflow.ts:209,matched method and normalized route in actions
POST,api/clinic/partner-orders/{orderId:guid}/accept,PartnerOrdersController.cs,Accept,wired,POST,/api/clinic/partner-orders/${orderId}/accept,Frontend/actions/partner/workflow.ts:224,matched method and normalized route in actions
POST,api/clinic/partner-orders/{orderId:guid}/schedule,PartnerOrdersController.cs,Schedule,wired,POST,/api/clinic/partner-orders/${orderId}/schedule,Frontend/actions/partner/workflow.ts:237,matched method and normalized route in actions
POST,api/clinic/partner-orders/{orderId:guid}/arrived,PartnerOrdersController.cs,MarkArrived,wired,POST,/api/clinic/partner-orders/${orderId}/arrived,Frontend/actions/partner/workflow.ts:250,matched method and normalized route in actions
POST,api/clinic/partner-orders/{orderId:guid}/result,PartnerOrdersController.cs,UploadResult,wired,POST,/api/clinic/partner-orders/${orderId}/result,Frontend/actions/partner/workflow.ts:268,matched method and normalized route in actions
