HttpVerb,RouteLiteral,NormalizedRoute,FrontendFile,Line
GET,/api/clinic/patients/${patientId},api/clinic/patients/{},Frontend/actions/patient/getPatient.ts,11
GET,/api/clinic/patients,api/clinic/patients,Frontend/actions/patient/getPatients.ts,20
GET,/api/clinic/patients?${queryParams.toString()},api/clinic/patients,Frontend/actions/patient/getPatients.ts,20
PUT,/api/clinic/patients/,api/clinic/patients,Frontend/actions/patient/update-patient.ts,18
PUT,/api/clinic/patients/${id},api/clinic/patients/{},Frontend/actions/patient/update-patient.ts,18
PATCH,/api/clinic/patients/,api/clinic/patients,Frontend/actions/patient/update-patient.ts,39
PATCH,/api/clinic/patients/${id},api/clinic/patients/{},Frontend/actions/patient/update-patient.ts,39
POST,/api/clinic/patients/,api/clinic/patients,Frontend/actions/patient/update-patient.ts,58
POST,/api/clinic/patients/${id}/reset-password,api/clinic/patients/{}/reset-password,Frontend/actions/patient/update-patient.ts,58
POST,/api/clinic/patients/,api/clinic/patients,Frontend/actions/patient/update-patient.ts,69
POST,/api/clinic/patients/${id}/send-credentials,api/clinic/patients/{}/send-credentials,Frontend/actions/patient/update-patient.ts,69
PUT,/api/clinic/patients/,api/clinic/patients,Frontend/actions/patient/updateChronicConditions.ts,12
PUT,/api/clinic/patients/${patientId}/chronic-conditions,api/clinic/patients/{}/chronic-conditions,Frontend/actions/patient/updateChronicConditions.ts,12
POST,/api/platform/tenants,api/platform/tenants,Frontend/actions/platform/create-tenant.ts,12
PUT,/api/platform/tenants/,api/platform/tenants,Frontend/actions/platform/create-tenant.ts,28
PUT,/api/platform/tenants/${tenantId},api/platform/tenants/{},Frontend/actions/platform/create-tenant.ts,28
DELETE,/api/platform/tenants/,api/platform/tenants,Frontend/actions/platform/delete-tenant.ts,8
DELETE,/api/platform/tenants/${id},api/platform/tenants/{},Frontend/actions/platform/delete-tenant.ts,8
DELETE,/api/platform/tenants/,api/platform/tenants,Frontend/actions/platform/delete-tenant.ts,12
DELETE,/api/platform/tenants/${id},api/platform/tenants/{},Frontend/actions/platform/delete-tenant.ts,12
GET,/api/platform/feature-flags/,api/platform/feature-flags,Frontend/actions/platform/feature-flags.ts,11
GET,/api/platform/feature-flags/${tenantId},api/platform/feature-flags/{},Frontend/actions/platform/feature-flags.ts,11
PUT,/api/platform/feature-flags/,api/platform/feature-flags,Frontend/actions/platform/feature-flags.ts,19
PUT,/api/platform/feature-flags/${tenantId},api/platform/feature-flags/{},Frontend/actions/platform/feature-flags.ts,19
GET,/api/platform/tenants,api/platform/tenants,Frontend/actions/platform/get-tenants.ts,8
GET,/api/platform/tenants?pageNumber=1&pageSize=10000,api/platform/tenants,Frontend/actions/platform/get-tenants.ts,8
GET,/api/platform/tenants/,api/platform/tenants,Frontend/actions/platform/get-tenants.ts,15
GET,/api/platform/tenants/${tenantId},api/platform/tenants/{},Frontend/actions/platform/get-tenants.ts,15
GET,/api/Health,api/health,Frontend/actions/platform/health.ts,7
GET,/api/platform/subscriptions,api/platform/subscriptions,Frontend/actions/platform/subscriptions.ts,18
GET,/api/platform/subscriptions${query},api/platform/subscriptions,Frontend/actions/platform/subscriptions.ts,18
POST,/api/platform/subscriptions,api/platform/subscriptions,Frontend/actions/platform/subscriptions.ts,24
POST,/api/platform/subscriptions/,api/platform/subscriptions,Frontend/actions/platform/subscriptions.ts,36
POST,/api/platform/subscriptions/${id}/extend,api/platform/subscriptions/{}/extend,Frontend/actions/platform/subscriptions.ts,36
POST,/api/platform/subscriptions/,api/platform/subscriptions,Frontend/actions/platform/subscriptions.ts,48
POST,/api/platform/subscriptions/${id}/cancel,api/platform/subscriptions/{}/cancel,Frontend/actions/platform/subscriptions.ts,48
POST,/api/platform/subscriptions/,api/platform/subscriptions,Frontend/actions/platform/subscriptions.ts,60
POST,/api/platform/subscriptions/${id}/mark-paid,api/platform/subscriptions/{}/mark-paid,Frontend/actions/platform/subscriptions.ts,60
POST,/api/platform/tenants/,api/platform/tenants,Frontend/actions/platform/tenant-actions.ts,9
POST,/api/platform/tenants/${id}/activate,api/platform/tenants/{}/activate,Frontend/actions/platform/tenant-actions.ts,9
POST,/api/platform/tenants/,api/platform/tenants,Frontend/actions/platform/tenant-actions.ts,15
POST,/api/platform/tenants/${id}/suspend,api/platform/tenants/{}/suspend,Frontend/actions/platform/tenant-actions.ts,15
